id,unit,book_page,word,reading,part_of_speech,category,severity,meaning_zh_original,meaning_zh_reviewed,sentence_ja_original,sentence_ja_reviewed,sentence_zh_original,sentence_zh_reviewed,reason,source
n3_0003,1,1,痛める,いためる,他一,实质误译,高,使（肉体）疼痛；使（精神、心灵）痛苦,使（肉体）疼痛；使（精神、心灵）痛苦,足を痛めて歩けません。,足を痛めて歩けません。,脚疼得无法走路。,脚受伤了，无法走路。,「足を痛める」表示把脚弄伤，不是单纯脚疼。,旧版人工校对
n3_0004,1,1,威張る,いばる,自五,措辞优化,低,自吹自擂，摆架子,自吹自擂，摆架子,彼は英語が上手だと威張っています。,彼は英語が上手だと威張っています。,他自吹自擂说自己的英语非常好。,他吹嘘自己的英语很好。,原意基本正确，改成更简洁自然的中文。,旧版人工校对
n3_0006,1,1,栄養,えいよう,名,措辞优化,低,营养；滋养,营养；滋养,栄養たっぷりな魚の料理を作りました。,栄養たっぷりな魚の料理を作りました。,做了一道营养丰富的鱼。,做了一道营养丰富的鱼料理。,「魚の料理」是鱼料理，不是作为生物的“一条鱼”。,旧版人工校对
n3_0010,1,1,応援,おうえん,名·他サ,实质误译,高,支援，声援,支援，声援,新製品の販売の応援に行きます。,新製品の販売の応援に行きます。,去声援新产品销售。,我去协助新产品的销售工作。,销售语境中的「応援」是支援、协助，不是声音上的“声援”；同时补出「に行きます」。,旧版人工校对
n3_0016,1,2,解釈,かいしゃく,名·他サ,措辞优化,低,解释，理解，说明,解释，理解，说明,あの文章はいろいろに解釈されます。,あの文章はいろいろに解釈されます。,那篇文章被解释成多种含义。,那篇文章会被作出各种各样的解释。,保留被动结构，并使中文表达更自然。,旧版人工校对
n3_0017,1,2,海水浴,かいすいよく,名,实质误译,高,海水浴，海水游泳,海水浴，海水游泳,今度の夏休みに葉山へ海水浴に行きます。,今度の夏休みに葉山へ海水浴に行きます。,今年夏天要去叶山附近的海里游泳。,这个暑假要去叶山进行海水浴。,「夏休み」是暑假，原句也没有“叶山附近”的附加信息。,旧版人工校对
n3_0024,1,2,警備,けいび,名·他サ,措辞优化,低,警备，警戒；戒备,警备，警戒；戒备,建物の周囲を厳しく警備します。,建物の周囲を厳しく警備します。,在建筑物的周围布置严密的警戒。,严密警戒建筑物周围。,原译搭配生硬；原句表示执行警戒动作。,旧版人工校对
n3_0033,1,2,採点,さいてん,名·他サ,词义及例句修正,高,评分数；记分,评分；打分；阅卷,100点満点で答案を採点します。,100点満点で答案を採点します。,按照满分100分评分。,按满分100分给答卷评分。,「採点」不是“评分数”；例句还应补出评分对象「答案」。,旧版人工校对
n3_0040,1,3,次第,しだい,名·副,实质误译,中,次序；顺序；情况；缘由,次序；顺序；情况；缘由,式の次第を掲示します。,式の次第を掲示します。,揭晓仪式的顺序。,公布仪式的流程。,「掲示」是公布、张贴，不是“揭晓”；「次第」在此指流程。,旧版人工校对
n3_0042,1,3,省,しょう,名·接尾,实质误译,高,省,省,わたしは遼寧省の出身です。,わたしは遼寧省の出身です。,我出生于辽宁省。,我来自辽宁省。,「出身」表示籍贯或出身地，不等于出生于。,旧版人工校对
n3_0046,1,3,スタート,スタート,名·自サ,措辞优化,低,开始，出发，起动，开端,开始，出发，起动，开端,彼は教師として人生のスタートを切った。,彼は教師として人生のスタートを切った。,他成为教师，开始了新的人生。,他以教师的身份开启了人生的新阶段。,补出「として」的身份关系。,旧版人工校对
n3_0048,1,3,世紀,せいき,名,实质误译,高,世纪，时代,世纪，时代,幾世紀にも渡った。,幾世紀にも渡った。,过了几个世纪。,延续了好几个世纪。,「幾世紀にも渡った」表示横跨、延续多个世纪，不是“过了几个世纪”。,旧版人工校对
n3_0053,1,4,それとも,それとも,接续,措辞优化,中,还是，或者,还是，或者,今日にするかそれとも明日にするか、わたしはどちらでもよい。,今日にするかそれとも明日にするか、わたしはどちらでもよい。,无论是今天还是明天，我都可以。,今天做还是明天做，我都可以。,「それとも」连接选择项；原译的“无论”弱化了选择问句结构。,旧版人工校对
n3_0055,1,4,対照,たいしょう,名·他サ,实质误译,中,对比；比较,对比；比较,白雪をいただいた富士山が青空と美しい対 照をなしている。,白雪をいただいた富士山が青空と美しい対照をなしている。,山顶覆盖着白雪的富士山与蓝天相映衬，很美。,山顶覆盖白雪的富士山与蓝天形成了美丽的对比。,「対照をなす」是形成对比；「美しい」修饰对比效果。,旧版人工校对
