ID,Level,Unit,BookPage,PdfPage,Word,Reading,PartOfSpeech,MeaningZh,SentenceJa,SentenceZhReviewed,SentenceZhOriginal,TranslationStatus,TranslationNote,WordAudioX2,SentenceAudioX1,SentenceAudioX2,Tags
n3_0125,N3,2,146,155,おかげ【お陰】,おかげ,名词,保佑；托……的福；多亏,毎日練習したおかげで上手になりました。,多亏每天坚持练习，我进步了。,多亏了每天练习才有所提高。,wording_refined,将「上手になりました」译为“进步了”，中文更自然。,[sound:n3_0125_word_x2.mp3],[sound:n3_0125_sentence_x1.mp3],[sound:n3_0125_sentence_x2.mp3],n3 unit_2 book_page_146 translation_wording_refined
n3_0126,N3,2,146,155,開会,かいかい,名词；サ变自动词,开会,これから開会いたします。,现在开始开会。,接下来要开会。,wording_refined,「これから」在会议开场语境中译为“现在开始”更自然。,[sound:n3_0126_word_x2.mp3],[sound:n3_0126_sentence_x1.mp3],[sound:n3_0126_sentence_x2.mp3],n3 unit_2 book_page_146 translation_wording_refined
n3_0127,N3,2,146,155,会場,かいじょう,名词,会场,会場で静かな音楽が流されています。,会场里正播放着轻柔的音乐。,会场里播放着舒缓的乐曲。,wording_refined,补出进行状态，并将「静かな音楽」译为更自然的“轻柔的音乐”。,[sound:n3_0127_word_x2.mp3],[sound:n3_0127_sentence_x1.mp3],[sound:n3_0127_sentence_x2.mp3],n3 unit_2 book_page_146 translation_wording_refined
n3_0128,N3,2,146,155,各地,かくち,名词,各地,防災訓練が毎年9月に全国各地で行われます。,每年9月，全国各地都会举行防灾演练。,每年9月全国各地都进行防灾演习。,wording_refined,调整语序并统一“防灾演练”的常用表达。,[sound:n3_0128_word_x2.mp3],[sound:n3_0128_sentence_x1.mp3],[sound:n3_0128_sentence_x2.mp3],n3 unit_2 book_page_146 translation_wording_refined
n3_0129,N3,2,146,155,歌舞伎,かぶき,名词,歌舞伎,歌舞伎は日本の伝統的な芸術としてよく知られています。,歌舞伎作为日本的传统艺术而广为人知。,歌舞伎作为日本传统的艺术形式广为人知。,unchanged,原译准确；仅做轻微措辞统一。,[sound:n3_0129_word_x2.mp3],[sound:n3_0129_sentence_x1.mp3],[sound:n3_0129_sentence_x2.mp3],n3 unit_2 book_page_146 translation_unchanged
n3_0130,N3,2,146,155,固い,かたい,形容词,坚固；坚定；坚决,その秘密は絶対言わないと、固く約束しました。,我郑重承诺，绝不说出那个秘密。,我发誓绝不把那个秘密告诉别人。,wording_refined,「固く約束する」译为“郑重承诺”更贴切。,[sound:n3_0130_word_x2.mp3],[sound:n3_0130_sentence_x1.mp3],[sound:n3_0130_sentence_x2.mp3],n3 unit_2 book_page_146 translation_wording_refined
n3_0131,N3,2,146,155,カロリー,カロリー,名词,卡路里；热量,成人男子は一日に最低2400カロリー必要です。,成年男性每天至少需要2400卡路里。,成年男子一天至少需要2400卡路里的能量。,wording_refined,删去中文中可省略的“的能量”，表达更简洁。,[sound:n3_0131_word_x2.mp3],[sound:n3_0131_sentence_x1.mp3],[sound:n3_0131_sentence_x2.mp3],n3 unit_2 book_page_146 translation_wording_refined
n3_0132,N3,2,146,155,解説,かいせつ,名词；サ变他动词,解说；讲解,ここ一週間の時事問題について解説してください。,请讲解一下这一周的时事问题。,请讲解一下本周的时事。,wording_refined,补出「問題」，使信息完整。,[sound:n3_0132_word_x2.mp3],[sound:n3_0132_sentence_x1.mp3],[sound:n3_0132_sentence_x2.mp3],n3 unit_2 book_page_146 translation_wording_refined
n3_0133,N3,2,146,155,改造,かいぞう,名词；サ变他动词,改造；改建；改组,屋根裏を改造して仕事部屋にする。,把阁楼改造成工作室。,改造房顶作为办公房间。,corrected,「屋根裏」是阁楼、屋顶夹层，不是房顶；「仕事部屋」译为工作室。,[sound:n3_0133_word_x2.mp3],[sound:n3_0133_sentence_x1.mp3],[sound:n3_0133_sentence_x2.mp3],n3 unit_2 book_page_146 translation_corrected
n3_0134,N3,2,146,155,気温,きおん,名词,气温,今朝は気温がマイナス10度まで下がりました。,今天早晨气温降到了零下10摄氏度。,今天早上气温降到了零下10度。,unchanged,原译准确自然。,[sound:n3_0134_word_x2.mp3],[sound:n3_0134_sentence_x1.mp3],[sound:n3_0134_sentence_x2.mp3],n3 unit_2 book_page_146 translation_unchanged
n3_0135,N3,2,146,155,寄付,きふ,名词；サ变他动词,捐献；捐赠,あの老人は母校に自分のすべての財産を寄付しました。,那位老人把自己的全部财产捐给了母校。,那个老人将自己的财产全部捐给母校。,wording_refined,调整量词和语序，使中文更自然。,[sound:n3_0135_word_x2.mp3],[sound:n3_0135_sentence_x1.mp3],[sound:n3_0135_sentence_x2.mp3],n3 unit_2 book_page_146 translation_wording_refined
n3_0136,N3,2,146,155,希望,きぼう,名词；サ变他动词,希望；期望；愿望,彼女の目は希望に輝いていました。,她的眼中闪耀着希望。,她的眼中充满了希望。,wording_refined,保留「輝く」的“闪耀”意象。,[sound:n3_0136_word_x2.mp3],[sound:n3_0136_sentence_x1.mp3],[sound:n3_0136_sentence_x2.mp3],n3 unit_2 book_page_146 translation_wording_refined
n3_0137,N3,2,146,155,教養,きょうよう,名词,教育；修养；教养；文化,子供を教養のある人に育てたいです。,我想把孩子培养成有教养的人。,希望把孩子教育成有教养的人。,wording_refined,补出第一人称意愿，并将「育てる」译为“培养”。,[sound:n3_0137_word_x2.mp3],[sound:n3_0137_sentence_x1.mp3],[sound:n3_0137_sentence_x2.mp3],n3 unit_2 book_page_146 translation_wording_refined
n3_0138,N3,2,146,155,距離,きょり,名词,距离；间隔；差距,北京から東京までの距離はどのくらいありますか。,北京到东京的距离大约有多远？,北京到东京的距离有多远？,unchanged,原译准确自然。,[sound:n3_0138_word_x2.mp3],[sound:n3_0138_sentence_x1.mp3],[sound:n3_0138_sentence_x2.mp3],n3 unit_2 book_page_146 translation_unchanged
n3_0139,N3,2,146,155,ぎりぎり,ぎりぎり,名词；形容动词,最大限度；极限；勉强达到限度,この車は7人でぎりぎりです。,这辆车勉强能坐下7个人。,这辆车最多载7人。,corrected,「ぎりぎり」强调刚好达到极限、勉强容纳，不只是客观最大载客数。,[sound:n3_0139_word_x2.mp3],[sound:n3_0139_sentence_x1.mp3],[sound:n3_0139_sentence_x2.mp3],n3 unit_2 book_page_146 translation_corrected
n3_0140,N3,2,146,155,組み立てる,くみたてる,他动词（一段）,组织；构成；装配；组装,こちらは部品を組み立て、機械を作る工場です。,这里是一家组装零件、制造机器的工厂。,这里是组装零件、制造机器的工厂。,unchanged,原译准确；日文补入顿号以明确并列关系。,[sound:n3_0140_word_x2.mp3],[sound:n3_0140_sentence_x1.mp3],[sound:n3_0140_sentence_x2.mp3],n3 unit_2 book_page_146 translation_unchanged
n3_0141,N3,2,146,155,曇り,くもり,名词,阴天；多云；模糊不清,明日は晴れときどき曇りの天気でしょう。,明天大概是晴间多云。,明日晴见多云。,wording_refined,采用中文天气预报中常见的“晴间多云”。,[sound:n3_0141_word_x2.mp3],[sound:n3_0141_sentence_x1.mp3],[sound:n3_0141_sentence_x2.mp3],n3 unit_2 book_page_146 translation_wording_refined
