id,source_number,level,unit,book_page,pdf_page,word,reading,part_of_speech,meaning_zh_original,meaning_zh_reviewed,sentence_ja_original,sentence_ja,sentence_zh_original,sentence_zh_reviewed,translation_status,correction_category,translation_note,has_original_sentence
n3_0001,0001,N3,1,1,3,相変わらず,あいかわらず,副,仍旧，照旧,仍旧，照旧,南京路は相変わらずにぎやかです。,南京路は相変わらずにぎやかです。,南京路依旧很热闹。,南京路依旧很热闹。,original_book,,使用原书例句与原书中文译文。,True
n3_0002,0002,N3,1,1,3,朝日,あさひ,名,朝阳，旭日,朝阳，旭日,東の空に朝日が昇りました。,東の空に朝日が昇りました。,日出东方。,日出东方。,original_book,,使用原书例句与原书中文译文。,True
n3_0003,0003,N3,1,1,3,痛める,いためる,他一,使（肉体）疼痛；使（精神、心灵）痛苦,使（肉体）疼痛；使（精神、心灵）痛苦,足を痛めて歩けません。,足を痛めて歩けません。,脚疼得无法走路。,脚受伤了，无法走路。,corrected,实质误译,「足を痛める」表示把脚弄伤，不是单纯脚疼。,True
n3_0004,0004,N3,1,1,3,威張る,いばる,自五,自吹自擂，摆架子,自吹自擂，摆架子,彼は英語が上手だと威張っています。,彼は英語が上手だと威張っています。,他自吹自擂说自己的英语非常好。,他吹嘘自己的英语很好。,wording_refined,措辞优化,原意基本正确，改成更简洁自然的中文。,True
n3_0005,0005,N3,1,1,3,衣料,いりょう,名,衣服，衣料,衣服，衣料,衣料品売り場は何階ですか。,衣料品売り場は何階ですか。,服装区在几楼？,服装区在几楼？,original_book,,使用原书例句与原书中文译文。,True
n3_0006,0006,N3,1,1,3,栄養,えいよう,名,营养；滋养,营养；滋养,栄養たっぷりな魚の料理を作りました。,栄養たっぷりな魚の料理を作りました。,做了一道营养丰富的鱼。,做了一道营养丰富的鱼料理。,wording_refined,措辞优化,「魚の料理」是鱼料理，不是作为生物的“一条鱼”。,True
n3_0007,0007,N3,1,1,3,円高,えんだか,名,日元升值,日元升值,円高の影響で、海外旅行が安くなった。,円高の影響で、海外旅行が安くなった。,受日元升值的影响，出境游便宜了。,受日元升值的影响，出境游便宜了。,original_book,,使用原书例句与原书中文译文。,True
n3_0008,0008,N3,1,1,3,尾,お,名,尾部，尾巴,尾部，尾巴,猫は尾を振って喜びを表現している。,猫は尾を振って喜びを表現している。,猫在摇尾巴，表达开心之情。,猫在摇尾巴，表达开心之情。,original_book,,使用原书例句与原书中文译文。,True
n3_0009,0009,N3,1,1,3,追い越す,おいこす,他五,超过，赶超,超过，赶超,その船はボートに追い越されました。,その船はボートに追い越されました。,那艘船被快艇超过了。,那艘船被快艇超过了。,original_book,,使用原书例句与原书中文译文。,True
n3_0010,0010,N3,1,1,3,応援,おうえん,名·他サ,支援，声援,支援，声援,新製品の販売の応援に行きます。,新製品の販売の応援に行きます。,去声援新产品销售。,我去协助新产品的销售工作。,corrected,实质误译,销售语境中的「応援」是支援、协助，不是声音上的“声援”；同时补出「に行きます」。,True
n3_0011,0011,N3,1,1,3,大雨,おおあめ,名,大雨，豪雨,大雨，豪雨,昨夜は大雨で、川の水位が上がった。,昨夜は大雨で、川の水位が上がった。,昨晚下大雨，河水水位上涨了。,昨晚下大雨，河水水位上涨了。,original_book,,使用原书例句与原书中文译文。,True
n3_0012,0012,N3,1,1,3,オーエル,オーエル,名,（公司、机关的）女职员，女办事员，白领丽人,（公司、机关的）女职员，女办事员，白领丽人,姉は都心のオフィスでオーエルとして働いている。,姉は都心のオフィスでオーエルとして働いている。,我姐姐是一名白领丽人，在市中心的事务所工作。,我姐姐是一名白领丽人，在市中心的事务所工作。,original_book,,使用原书例句与原书中文译文。,True
n3_0013,0013,N3,1,1,3,大型,おおがた,名,大型，巨型,大型，巨型,大型スーパーでは、いろいろな商品を一度に買える。,大型スーパーでは、いろいろな商品を一度に買える。,在大型超市可以一次性买到各种商品。,在大型超市可以一次性买到各种商品。,original_book,,使用原书例句与原书中文译文。,True
n3_0014,0014,N3,1,2,4,会員,かいいん,名,会员,会员,その研究会は会員を募集しています。,その研究会は会員を募集しています。,那个研究会正在招募会员。,那个研究会正在招募会员。,original_book,,使用原书例句与原书中文译文。,True
n3_0015,0015,N3,1,2,4,改札口,かいさつぐち,名,检票口,检票口,発車の20分前に改札口で改札を始めます。,発車の20分前に改札口で改札を始めます。,发车前二十分钟在检票口开始检票。,发车前二十分钟在检票口开始检票。,original_book,,使用原书例句与原书中文译文。,True
n3_0016,0016,N3,1,2,4,解釈,かいしゃく,名·他サ,解释，理解，说明,解释，理解，说明,あの文章はいろいろに解釈されます。,あの文章はいろいろに解釈されます。,那篇文章被解释成多种含义。,那篇文章会被作出各种各样的解释。,wording_refined,措辞优化,保留被动结构，并使中文表达更自然。,True
n3_0017,0017,N3,1,2,4,海水浴,かいすいよく,名,海水浴，海水游泳,海水浴，海水游泳,今度の夏休みに葉山へ海水浴に行きます。,今度の夏休みに葉山へ海水浴に行きます。,今年夏天要去叶山附近的海里游泳。,这个暑假要去叶山进行海水浴。,corrected,实质误译,「夏休み」是暑假，原句也没有“叶山附近”的附加信息。,True
n3_0018,0018,N3,1,2,4,回数券,かいすうけん,名,计次票,计次票,回数券を買う場合、料金が割引になっています。,回数券を買う場合、料金が割引になっています。,购买计次票可享票价折扣优惠。,购买计次票可享票价折扣优惠。,original_book,,使用原书例句与原书中文译文。,True
n3_0019,0019,N3,1,2,4,かっこ悪い,かっこわるい,形,很逊，不好,很逊，不好,友達の前でつまずいて、ちょっとかっこ悪かった。,友達の前でつまずいて、ちょっとかっこ悪かった。,在朋友面前绊倒了，有点儿尴尬。,在朋友面前绊倒了，有点儿尴尬。,original_book,,使用原书例句与原书中文译文。,True
n3_0020,0020,N3,1,2,4,合宿,がっしゅく,名·自サ,集训，共同寄宿,集训，共同寄宿,来週、部活で合宿がある。,来週、部活で合宿がある。,下周社团有集训。,下周社团有集训。,original_book,,使用原书例句与原书中文译文。,True
n3_0021,0021,N3,1,2,4,革,かわ,名,皮革,皮革,革のかばんは値段が高いのでなかなか買えません。,革のかばんは値段が高いのでなかなか買えません。,真皮包太贵，买不起。,真皮包太贵，买不起。,original_book,,使用原书例句与原书中文译文。,True
